Система,Узел/деталь,Код Детали
,Крышка заливной горловины топлива,519
,Топливопровод - Дизель,555
,Скоба топливного шланга,523
,Топливные шланги,531
,Бензобак,536
,Топливная система: Залит бензин вместо Д/Т (Двигатель не заводился),566
,Топливная система: Залито Д/Т вместо бензина (Двигатель не заводился),565
,Расцепной тросик лучка бензобака,521
,Датчик уровня топлива,537
,Нагреватель топлива,573
,Инерционный переключатель топлива,524
,Педаль акселератора,500
Тормозная ,Индикатор недостаточного уровня тормозной жидкости,210
,Тормозной шланг,211
,Тормозная трубка,217
,Антиблокировочная система,200
,Индикатор ручного тормоза,270
,Тормозная колодка,206
,Тормозной диск,207
,Тормозной барабан,208
,Главный тормозной цилиндр,214
,Тормозная тяга /Тормозной механизм / Тормозной трос,218
,Усилитель тормоза,219
,Вакуумный насос тормозной системы / Ремень,221
,Тросик ручного тормоза,226
,Ручной тормоз,227
,Тормоз (общая поломка),298
,Педаль тормоза,216
Трансмиссия,Масло для дифференциала,713
,Масло АКПП,718
,Радиатор масла АКПП,719
,Отстойник редуктора/пробка заливной горловины,740
,Предупредительный световой сигнал антипробуксовочной системы,743
,Дифференциал 4X4,725
,Сцепная вилка,117
,АКПП,700
,Переключатель передач,720
,МКП,722
,Цепь мотоцикла / звездочка / Вал,723
,Карданный вал,724
,Предупредительный сигнал АКПП,730
,Гидравлические трубки сцепления,731
,Трансмиссия 4Х4 Ремень,732
,Роботизированное сцепление,733
,Привод выключения сцепления (сторона педали),738
,Неизвестная неисправность трансмиссии,745
,Электронный переключатель режима езды/ переключатель скоростей,746
,АКПП переключатель нейтрали,701
,Педаль сцепления,734
,Педаль сцепления,707
,Сцепление,704
,Тросик сцепления,705
,Главный цилиндр сцепления,706
,Расцепной рычаг,709
,Подшипник выключения сцепления,710
Электрооборудование,Генератор переменного тока,150
,Генератор / Приводной ремень генератора,153
,Генератор,160
,Генератор / Натяжитель приводного ремня генератора,162
,Генератор / Щетка генератора,163
,Аккумулятор,400
,Электролит аккумулятора,402
,Клеммы аккумуляторной батареи,403
,Предохранители,406
,Мотор стартера,427
,Блок управления зажиганием,446
,Силовой кабель,448
,Кнопка стартера,449
,Разряженный аккумулятор (Ошибка водителя),453
,Разряженный аккумулятор (Проблема в автомобиле),454
,Штекер - Моторный осек,457
,Аккумулятор - Вспомогательный аккумулятор,462
,"Высокое Напряжение (ВН), Аккумулятор, Зарядное устройство/Инвертор",468
,Неизвестная неисправность электрической системы,499
,Аккумулятор автомобиля с гибридным приводом,750
,Инвертор / Блок управления аккумуляторными батареями ,751
,Бортовой компьютер,455
,Система охлаждения аккумуляторных батарей автомобилей с гибридным приводом,754
,Датчики приборной панели / Подсветка приборной панели,143
,Предупредительный сигнал - аккумулятор,768
,Оборудование блютус ,464
,Гнездо зарядки,761
,Дополнительное оборудование салона(Напр. Мобильный телефон/Навигатор),442
,Система звукового сигнала,410
,Информационный/Многофункциональный дисплей,451
,Круиз-контроль,438
,Система обогрева заднего стекла,409
,Стеклоочиститель лобового стекла / Рычаг омывателя лобового стекла,435
,Мобильный телефон (вкл. Подставку),465
,Развлекательная система в салоне автомобиля,666
,Штекер - Салон автомобиля,458
,Штекер - Багажное отделение,459
,Рычаг включения указателей поворота,412
,Система спутниковой навигации,463
,Спидометр,113
,Стеклоподъёмник - Электрическая/Электронная система,120
,Стеклоподъемник - механический,121
,Рычаг включения очистителей стекла,413
,Мотор стеклоочистителя ветрового стекла,433
,Блок управления стеклоочистителями,445
,Проводка прицепа,432
,Прерыватель указателей поворота и аварийной сигнализации,407
,Оплётка проводов,437
,Крепление Стеклоочистителя,122
